"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Statut"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Langue"	"Dernier achat/vente"	"Dern. trans."	"Début de gestion"	"Date de fermeture"	"Création"	"Marge"	"Valeur totale"	"Nom"
"800288-NA"	"A - Comptant"	""	"(450) 555-4579"	"(450) 555-5962"	"0,00"	"CAD"	"Ouvert"	""	"ARNAST DEMERCHANT"	""	"800288"	"Anglais"	""	"2008/02/27"	""	""	"2009/12/01"	"n/d"	"0,00"	"DEMERCHANT ARNAS"
"800263-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1974"	"(450) 555-1470"	"1 182,20"	"CAD"	"Ouvert"	""	"AQUARIUS DODOK"	""	"800263"	"Anglais"	"2010/01/14"	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"716 426,54"	"DODOK AQUARIUS"
"800263-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1974"	"(450) 555-1470"	"0,66"	"CAD"	"Ouvert"	""	"AQUARIUS DODOK"	""	"800263"	"Anglais"	"2010/01/14"	"2010/01/14"	""	""	"2009/12/01"	"n/d"	"10 179,85"	"DODOK AQUARIUS"
"800263-RE"	"E - Marge couvert"	""	"(450) 555-1974"	"(450) 555-1470"	"14 248,80"	"CAD"	"Ouvert"	""	"AQUARIUS DODOK"	""	"800263"	"Anglais"	""	"2010/01/19"	""	""	"2009/12/01"	"0,00"	"1 203 835,08"	"DODOK AQUARIUS"
"800031-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-6375"	"(450) 555-4339"	"662,02"	"CAD"	"Ouvert"	""	"SOWLIN GREENSPOON"	""	"800031"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"7 736,56"	"DOSTIE AYELE"
"800039-NA"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"CAD"	"Ouvert"	""	"ALVARO DYNAMIQUE"	""	"800039"	"Français"	""	"2006/01/18"	""	""	"2009/12/01"	"n/d"	"0,00"	"DYNAMIQUE ALVARO"
"800039-OB"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"USD"	"Ouvert"	""	"ALVARO DYNAMIQUE"	""	"800039"	"Français"	""	"2005/12/13"	""	""	"2009/12/01"	"n/d"	"0,00"	"DYNAMIQUE ALVARO"
"800032-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-1113"	"(450) 555-1905"	"0,00"	"CAD"	"Ouvert"	""	"BERTHE ERDMAN"	""	"800032"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(32 419,63)"	"ERDMAN BERTHE"
"800032-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1113"	"(450) 555-1905"	"0,00"	"CAD"	"Ouvert"	""	"BERTHE ERDMAN"	""	"800032"	"Français"	""	"2009/11/03"	""	""	"2009/12/01"	"n/d"	"0,00"	"ERDMAN BERTHE"
"800032-NA"	"A - Comptant"	""	"(450) 555-1113"	"(450) 555-1905"	"0,00"	"CAD"	"Ouvert"	""	"BERTHE ERDMAN"	""	"800032"	"Français"	""	"2009/12/10"	""	""	"2009/12/01"	"n/d"	"0,00"	"ERDMAN BERTHE"
"800063-NA"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"192 288,35"	"CAD"	"Ouvert"	""	"BERNATCHEZ EVERTON"	""	"800063"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"1 149 358,51"	"EVERTON BERNATCH"
"800063-OB"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"266 141,04"	"USD"	"Ouvert"	""	"BERNATCHEZ EVERTON"	""	"800063"	"Français"	""	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"608 063,96"	"EVERTON BERNATCH"
"~E-00001-0"	"A - Comptant"	"QP"	""	""	"0,00"	"CAD"	"Ouvert"	""	"TEMP EXTERNAL"	""	"~E-00001"	"Français"	"2010/01/26"	"2011/09/26"	""	""	"2011/09/26"	"n/d"	"2 574,00"	"EXTERNAL TEMP"
"~E-00000-0"	"E - Marge couvert"	""	""	""	"71 105,76"	"CAD"	"Ouvert"	""	"TEST EXTERNAL"	""	"~E-00000"	"Français"	"2010/01/26"	"2011/09/26"	""	""	"2011/09/26"	"0,00"	"71 105,76"	"EXTERNAL TEST"
"800237-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-2466"	"(450) 555-8267"	"0,00"	"CAD"	"Ouvert"	""	"ANESTIS FATA"	""	"800237"	"Français"	""	"2006/01/26"	""	""	"2009/12/01"	"0,00"	"0,00"	"FATA ANESTIS"
"800237-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2466"	"(450) 555-8267"	"9 336,94"	"CAD"	"Ouvert"	""	"ANESTIS FATA"	""	"800237"	"Français"	"2010/01/11"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"382 081,87"	"FATA ANESTIS"
"800237-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-2466"	"(450) 555-8267"	"48,01"	"CAD"	"Ouvert"	""	"ANESTIS FATA"	""	"800237"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"5 619,48"	"FATA ANESTIS"
"800237-RE"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"88,11"	"CAD"	"Ouvert"	""	"ANESTIS FATA"	""	"800237"	"Français"	"2010/01/11"	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"104 040,51"	"FATA ANESTIS"
"800237-SF"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"1 093,91"	"USD"	"Ouvert"	""	"ANESTIS FATA"	""	"800237"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"1 093,91"	"FATA ANESTIS"
"800214-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	"Ouvert"	""	"CATHY FORTIN"	""	"800214"	"Français"	""	"2004/11/08"	""	""	"2009/12/01"	"n/d"	"0,00"	"FORTIN CAT"
"800214-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"3 107,11"	"CAD"	"Ouvert"	""	"CATHY FORTIN"	""	"800214"	"Français"	""	"2009/12/16"	""	""	"2009/12/01"	"n/d"	"49 117,75"	"FORTIN CAT"
"800214-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	"Ouvert"	""	"CATHY FORTIN"	""	"800214"	"Français"	""	"2009/01/02"	""	""	"2009/12/01"	"n/d"	"5 197,59"	"FORTIN CAT"
"800214-NA"	"A - Comptant"	""	"(450) 555-8651"	"(450) 555-9211"	"0,64"	"CAD"	"Ouvert"	""	"CATHY FORTIN"	""	"800214"	"Français"	"2009/12/02"	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"65 903,57"	"FORTIN CAT"
"800235-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-6802"	"(450) 555-2905"	"0,00"	"CAD"	"Ouvert"	""	"ALIETTE FOSTEN"	""	"800235"	"Français"	""	"2006/02/07"	""	""	"2009/12/01"	"0,00"	"0,00"	"FOSTEN ALIETTE"
"800235-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-6802"	"(450) 555-2905"	"4 072,72"	"CAD"	"Ouvert"	""	"ALIETTE FOSTEN"	""	"800235"	"Français"	"2009/12/23"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"657 592,08"	"FOSTEN ALIETTE"
"800235-RE"	"E - Marge couvert"	""	"(450) 555-6802"	"(450) 555-2905"	"0,00"	"CAD"	"Ouvert"	""	"ALIETTE FOSTEN"	""	"800235"	"Français"	""	"2009/07/14"	""	""	"2009/12/01"	"0,00"	"0,00"	"FOSTEN ALIETTE"
"300012-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"145 175,96"	"CAD"	"Ouvert"	""	"TRXIONS FONDS CIBC"	""	"300012"	"Français"	"2009/12/31"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"185 393,17"	"FRAIS GESTION CR"
"300012-RE"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"Ouvert"	""	"TRXIONS FONDS CIBC"	""	"300012"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"	"FRAIS GESTION CR"
"800024-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-7248"	"(450) 555-5038"	"27,80"	"CAD"	"Ouvert"	""	"CELIA FRANCOIS"	""	"800024"	"Français"	"2009/12/09"	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"27,80"	"FRANCOIS CELIA"
"800024-RE"	"E - Marge couvert"	""	"(450) 555-7248"	"(450) 555-5038"	"0,00"	"CAD"	"Ouvert"	""	"CELIA FRANCOIS"	""	"800024"	"Français"	""	"2006/01/03"	""	""	"2009/12/01"	"0,00"	"0,00"	"FRANCOIS CELIA"
"800046-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-3143"	"(450) 555-2128"	"7 926,98"	"CAD"	"Ouvert"	""	"CHRISTINE FRESEY"	""	"800046"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"246 056,38"	"FRESEY CHRISTINE"
"800046-NA"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"8 391,61"	"CAD"	"Ouvert"	""	"CHRISTINE FRESEY"	""	"800046"	"Français"	"2010/01/20"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"173 806,05"	"FRESEY CHRISTINE"
"800046-OB"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"7 050,91"	"USD"	"Ouvert"	""	"CHRISTINE FRESEY"	""	"800046"	"Français"	"2009/12/01"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"156 376,51"	"FRESEY CHRISTINE"
"800046-RE"	"E - Marge couvert"	""	"(450) 555-3143"	"(450) 555-2128"	"7 293,38"	"CAD"	"Ouvert"	""	"CHRISTINE FRESEY"	""	"800046"	"Français"	"2009/12/03"	"2010/01/15"	""	""	"2009/12/01"	"0,00"	"654 348,03"	"FRESEY CHRISTINE"
"800076-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4536"	"(450) 555-9434"	"0,00"	"CAD"	"Ouvert"	""	"BROCHU GALLATI"	""	"800076"	"Français"	""	"2001/08/07"	""	""	"2009/12/01"	"n/d"	"0,00"	"GALLATI BROCHU"
"800076-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-4536"	"(450) 555-9434"	"1 219,59"	"CAD"	"Ouvert"	""	"BROCHU GALLATI"	""	"800076"	"Français"	""	"2009/12/28"	""	""	"2009/12/01"	"n/d"	"10 996,27"	"GALLATI BROCHU"
"800076-NA"	"A - Comptant"	""	"(450) 555-4536"	"(450) 555-9434"	"0,00"	"CAD"	"Ouvert"	""	"BROCHU GALLATI"	""	"800076"	"Français"	""	"2005/07/04"	""	""	"2009/12/01"	"n/d"	"0,00"	"GALLATI BROCHU"
"800280-RE"	"E - Marge couvert"	""	"(450) 555-3727"	"(450) 555-4080"	"33 962,21"	"CAD"	"Ouvert"	""	"BENEZETTE GALLEY"	""	"800280"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"1 102 167,43"	"GALLEY BENEZETTE"
"800280-SF"	"E - Marge couvert"	""	"(450) 555-3727"	"(450) 555-4080"	"171 147,13"	"USD"	"Ouvert"	""	"BENEZETTE GALLEY"	""	"800280"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"474 316,31"	"GALLEY BENEZETTE"
"800021-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"(26 713,18)"	"CAD"	"Ouvert"	""	"BAYNE GARTON"	""	"800021"	"Anglais"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"673 364,47"	"GARTON BAYNE"
"800021-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"3 478,57"	"CAD"	"Ouvert"	""	"BAYNE GARTON"	""	"800021"	"Anglais"	"2010/01/05"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"29 762,58"	"GARTON BAYNE"
"800021-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7564"	"(450) 555-0541"	"11,24"	"CAD"	"Ouvert"	""	"BAYNE GARTON"	""	"800021"	"Anglais"	"2010/01/22"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"12 110,08"	"GARTON BAYNE"
"800021-NA"	"A - Comptant"	""	"(450) 555-7564"	"(450) 555-0541"	"(4 000,00)"	"CAD"	"Ouvert"	""	"BAYNE GARTON"	""	"800021"	"Anglais"	"2010/01/22"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"669 946,33"	"GARTON BAYNE"
"800267-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-5552"	"(450) 555-4777"	"3 663,99"	"CAD"	"Ouvert"	""	"ALOIS GATES"	""	"800267"	"Français"	"2010/01/08"	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"425 278,41"	"GATES ALOIS"
"800267-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5552"	"(450) 555-4777"	"259,12"	"CAD"	"Ouvert"	""	"ALOIS GATES"	""	"800267"	"Français"	""	"2009/11/24"	""	""	"2009/12/01"	"n/d"	"8 347,04"	"GATES ALOIS"
"800267-RE"	"E - Marge couvert"	""	"(450) 555-5552"	"(450) 555-4777"	"23 310,50"	"CAD"	"Ouvert"	""	"ALOIS GATES"	""	"800267"	"Français"	"2010/01/19"	"2010/01/19"	""	""	"2009/12/01"	"0,00"	"767 081,77"	"GATES ALOIS"
"800023-NA"	"A - Comptant"	""	"(450) 555-2673"	"(450) 555-1714"	"0,00"	"CAD"	"Ouvert"	""	"BROCK GERRARD"	""	"800023"	"Anglais"	""	"2006/09/18"	""	""	"2009/12/01"	"n/d"	"0,00"	"GERRARD BROCK"
"800023-OB"	"A - Comptant"	""	"(450) 555-2673"	"(450) 555-1714"	"0,00"	"USD"	"Ouvert"	""	"BROCK GERRARD"	""	"800023"	"Anglais"	""	"2007/01/15"	""	""	"2009/12/01"	"n/d"	"0,00"	"GERRARD BROCK"
"800250-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-4517"	"(450) 555-3322"	"0,00"	"CAD"	"Ouvert"	""	"BOURBON GHILZON"	""	"800250"	"Français"	""	"2007/05/01"	""	""	"2009/12/01"	"n/d"	"0,00"	"GHILZON BOURBON"
"800250-NA"	"A - Comptant"	""	"(450) 555-4517"	"(450) 555-3322"	"0,00"	"CAD"	"Ouvert"	""	"BOURBON GHILZON"	""	"800250"	"Français"	""	"2007/05/02"	""	""	"2009/12/01"	"n/d"	"0,00"	"GHILZON BOURBON"
"800277-NA"	"A - Comptant"	""	"(450) 555-7492"	"(450) 555-1520"	"321,68"	"CAD"	"Ouvert"	""	"ANGELLA GIRARDIN"	""	"800277"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"321,68"	"GIRARDIN ANGELLA"
"800277-OB"	"A - Comptant"	""	"(450) 555-7492"	"(450) 555-1520"	"10 498,04"	"USD"	"Ouvert"	""	"ANGELLA GIRARDIN"	""	"800277"	"Français"	"2010/01/20"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"257 933,14"	"GIRARDIN ANGELLA"
"800277-RE"	"E - Marge couvert"	""	"(450) 555-7492"	"(450) 555-1520"	"1 995,56"	"CAD"	"Ouvert"	""	"ANGELLA GIRARDIN"	""	"800277"	"Français"	"2009/12/03"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"493 678,17"	"GIRARDIN ANGELLA"
"800277-SF"	"E - Marge couvert"	""	"(450) 555-7492"	"(450) 555-1520"	"13 037,15"	"USD"	"Ouvert"	""	"ANGELLA GIRARDIN"	""	"800277"	"Français"	"2010/01/13"	"2010/01/13"	""	""	"2009/12/01"	"0,00"	"250 620,35"	"GIRARDIN ANGELLA"
"300007-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"447 859,00"	"CAD"	"Ouvert"	""	"GP VALIDATION"	""	"300007"	"Français"	"2009/12/29"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"447 859,00"	"GP VALIDATION"
"300007-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"476 961,48"	"USD"	"Ouvert"	""	"GP VALIDATION"	""	"300007"	"Français"	"2009/08/17"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"476 961,48"	"GP VALIDATION"
"800213-NA"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"6 601,05"	"CAD"	"Ouvert"	""	"AMIOT GRACIE"	""	"800213"	"Anglais"	"2009/12/21"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"972 978,14"	"GRACIE AMIOT"
"800213-OB"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"2 434,55"	"USD"	"Ouvert"	""	"AMIOT GRACIE"	""	"800213"	"Anglais"	"2009/12/04"	"2010/01/13"	""	""	"2009/12/01"	"n/d"	"63 631,16"	"GRACIE AMIOT"
"800031-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-6375"	"(450) 555-4339"	"17 066,41"	"CAD"	"Ouvert"	""	"SOWLIN GREENSPOON"	""	"800031"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"66 456,55"	"GREENSPOON SOWLI"
"800031-NA"	"A - Comptant"	""	"(450) 555-6375"	"(450) 555-4339"	"122 664,08"	"CAD"	"Ouvert"	""	"SOWLIN GREENSPOON"	""	"800031"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"427 793,62"	"GREENSPOON SOWLI"
"800269-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8618"	"(450) 555-2516"	"0,00"	"CAD"	"Ouvert"	""	"BARRY GREICO"	""	"800269"	"Français"	""	"2006/03/07"	""	""	"2009/12/01"	"n/d"	"0,00"	"GREICO BARRY"
"800269-NA"	"A - Comptant"	""	"(450) 555-8618"	"(450) 555-2516"	"0,00"	"CAD"	"Ouvert"	""	"BARRY GREICO"	""	"800269"	"Français"	""	"2006/03/09"	""	""	"2009/12/01"	"n/d"	"0,00"	"GREICO BARRY"
"800060-NA"	"A - Comptant"	""	"(450) 555-7403"	"(450) 555-9104"	"198 967,04"	"CAD"	"Ouvert"	""	"CHANTAL GRUEN"	""	"800060"	"Anglais"	"2010/01/12"	"2010/01/21"	""	""	"2009/12/01"	"n/d"	"855 676,23"	"GRUEN CHANTAL"
"800060-OB"	"A - Comptant"	""	"(450) 555-7403"	"(450) 555-9104"	"63 736,98"	"USD"	"Ouvert"	""	"CHANTAL GRUEN"	""	"800060"	"Anglais"	""	"2010/01/21"	""	""	"2009/12/01"	"n/d"	"135 912,04"	"GRUEN CHANTAL"
"800085-RE"	"E - Marge couvert"	""	"(450) 555-2559"	"(450) 555-4855"	"3 150,94"	"CAD"	"Ouvert"	""	"ALLAN GUERASSIMENKO"	""	"800085"	"Anglais"	""	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"136 858,80"	"GUERASSIMENKO AL"
"800279-NA"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"CAD"	"Ouvert"	""	"OLIVIER GUIMOND"	""	"800279"	"Français"	""	"2003/02/20"	""	""	"2009/12/01"	"n/d"	"0,00"	"GUIMOND OLIVIER"
"800279-OB"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"USD"	"Ouvert"	""	"OLIVIER GUIMOND"	""	"800279"	"Français"	""	"2003/01/24"	""	""	"2009/12/01"	"n/d"	"0,00"	"GUIMOND OLIVIER"
"800279-RE"	"E - Marge couvert"	""	"(450) 555-8609"	"(450) 555-8745"	"3 744,41"	"CAD"	"Ouvert"	""	"OLIVIER GUIMOND"	""	"800279"	"Français"	"2009/12/07"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"1 524 658,34"	"GUIMOND OLIVIER"
"800279-SF"	"E - Marge couvert"	""	"(450) 555-8609"	"(450) 555-8745"	"5 459,07"	"USD"	"Ouvert"	""	"OLIVIER GUIMOND"	""	"800279"	"Français"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"264 627,73"	"GUIMOND OLIVIER"
"800061-RE"	"E - Marge couvert"	""	"(450) 555-5681"	"(450) 555-2065"	"0,00"	"CAD"	"Ouvert"	""	"BONACE GURAK"	""	"800061"	"Anglais"	""	"2005/11/02"	""	""	"2009/12/01"	"0,00"	"0,00"	"GURAK BONACE"
"800061-SF"	"E - Marge couvert"	""	"(450) 555-5681"	"(450) 555-2065"	"0,00"	"USD"	"Ouvert"	""	"BONACE GURAK"	""	"800061"	"Anglais"	""	"2005/11/02"	""	""	"2009/12/01"	"0,00"	"0,00"	"GURAK BONACE"
"800287-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0474"	"(450) 555-7343"	"105,83"	"CAD"	"Ouvert"	""	"AURORE HARTER"	""	"800287"	"Français"	"2010/01/20"	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"451 075,96"	"HARTER AURORE"
"800287-NA"	"A - Comptant"	""	"(450) 555-0474"	"(450) 555-7343"	"11 302,64"	"CAD"	"Ouvert"	""	"AURORE HARTER"	""	"800287"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"549 372,76"	"HARTER AURORE"
"800001-NA"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"(15 381,69)"	"CAD"	"Ouvert"	""	"ALAIN HEFFELFINGER"	""	"800001"	"Anglais"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"815 366,42"	"HEFFELFINGER ALA"
"800001-OB"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"46 832,77"	"USD"	"Ouvert"	""	"ALAIN HEFFELFINGER"	""	"800001"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"414 720,62"	"HEFFELFINGER ALA"
"800249-NA"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-4795"	"149 888,26"	"CAD"	"Ouvert"	""	"ARRY HOFFMAN"	""	"800249"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"21 348 100,75"	"HOFFMAN ARRY"
"800249-OB"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-4795"	"12 159,61"	"USD"	"Ouvert"	""	"ARRY HOFFMAN"	""	"800249"	"Français"	"2009/12/18"	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"12 159,61"	"HOFFMAN ARRY"
"800271-NA"	"A - Comptant"	""	"(450) 555-7821"	"(450) 555-9043"	"0,00"	"CAD"	"Ouvert"	""	"ACURA HOLLIS"	""	"800271"	"Français"	""	"2007/01/29"	""	""	"2009/12/01"	"n/d"	"0,00"	"HOLLIS ACURA"
"800243-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	"Ouvert"	""	"ANTONINE HUMPHREY"	""	"800243"	"Français"	""	"2009/12/11"	""	""	"2009/12/01"	"n/d"	"(97 345,87)"	"HUMPHREY ANTONIN"
"800243-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	"Ouvert"	""	"ANTONINE HUMPHREY"	""	"800243"	"Français"	""	"2009/12/29"	""	""	"2009/12/01"	"n/d"	"6 054,76"	"HUMPHREY ANTONIN"
"800243-NA"	"A - Comptant"	""	"(450) 555-0805"	"(450) 555-6049"	"511,06"	"CAD"	"Ouvert"	""	"ANTONINE HUMPHREY"	""	"800243"	"Français"	"2010/01/14"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"81 700,05"	"HUMPHREY ANTONIN"
"800220-LY"	"Y - Rente viagère"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	"Ouvert"	""	"CAHTERINE ISMAN"	""	"800220"	"Français"	""	"2008/06/04"	""	""	"2009/12/01"	"n/d"	"0,00"	"ISMAN CAHTERINE"
"800220-RE"	"E - Marge couvert"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	"Ouvert"	""	"CAHTERINE ISMAN"	""	"800220"	"Français"	""	"2008/08/21"	""	""	"2009/12/01"	"0,00"	"0,00"	"ISMAN CAHTERINE"
"800062-NA"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"2 654,52"	"CAD"	"Ouvert"	""	"AMALIE ISSENMAN"	""	"800062"	"Anglais"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"6 430,78"	"ISSENMAN AMALIE"
"800062-OB"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"35 682,15"	"USD"	"Ouvert"	""	"AMALIE ISSENMAN"	""	"800062"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"94 019,63"	"ISSENMAN AMALIE"
"800036-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-9221"	"(450) 555-8285"	"57 280,12"	"CAD"	"Ouvert"	""	"BEVERALY JACOBSON"	""	"800036"	"Anglais"	""	"2010/01/14"	""	""	"2009/12/01"	"n/d"	"156 876,95"	"JACOBSON BEVERAL"
"800036-NA"	"A - Comptant"	""	"(450) 555-9221"	"(450) 555-8285"	"301 576,54"	"CAD"	"Ouvert"	""	"BEVERALY JACOBSON"	""	"800036"	"Anglais"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"834 306,04"	"JACOBSON BEVERAL"
"800254-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	"Ouvert"	""	"ANTONIUS JAKOBSEN"	""	"800254"	"Français"	""	"2006/06/27"	""	""	"2009/12/01"	"n/d"	"0,00"	"JAKOBSEN ANTONIU"
"800254-NA"	"A - Comptant"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	"Ouvert"	""	"ANTONIUS JAKOBSEN"	""	"800254"	"Français"	""	"2007/03/22"	""	""	"2009/12/01"	"n/d"	"0,00"	"JAKOBSEN ANTONIU"
"800221-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8323"	"(450) 555-5347"	"921,09"	"CAD"	"Ouvert"	""	"CARLEY JANELLE"	""	"800221"	"Français"	"2010/01/13"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"592 817,10"	"JANELLE CARLEY"
"800221-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8323"	"(450) 555-5347"	"221,19"	"CAD"	"Ouvert"	""	"CARLEY JANELLE"	""	"800221"	"Français"	""	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"10 377,91"	"JANELLE CARLEY"
"800221-NA"	"A - Comptant"	""	"(450) 555-8323"	"(450) 555-5347"	"2 122,99"	"CAD"	"Ouvert"	""	"CARLEY JANELLE"	""	"800221"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"40 565,15"	"JANELLE CARLEY"
"800078-NA"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"CAD"	"Ouvert"	""	"BABCOCK JANSEN"	""	"800078"	"Français"	""	"2008/11/26"	""	""	"2009/12/01"	"n/d"	"0,00"	"JANSEN BABCOCK"
