"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Gross Income"	"carolet"	"Bouquet"	"bateau A"	"Bagage"	"Arbre A"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Segmentation"	"Representative"	"Model Number"	"Model Name"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Discretionary"	"Date of Birth"	"Communication"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"MASSIE BENNO"	"800205"	"0AED"	"(450) 555-4830"	"(450) 555-4237"	"19,858.84"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BENNO MASSIE"	""	""	"ANGELINA.BRUYNOOGHE@hotmail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-1332"	""	"7,584,703.95"
"MAUDE BOURBON"	"800250-4"	"AC42"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"BOURBON MAUDE JR"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"
"MCCOMBE AURELIAN"	"800222"	"BD77"	"(450) 555-6658"	"(450) 555-6615"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AURELIANO MCCOMBE"	""	""	"AMZINA.CASINO@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-1316"	""	"0.00"
"MCDOWALL CAYLEY"	"800086"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"11,094.54"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CAYLEY MCDOWALL"	""	""	"BOIVIN.BRISSON@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9125"	""	"157,568.79"
"MCGILLICUDDY BLA"	"800006"	"AC42"	"(450) 555-2490"	"(450) 555-3099"	"(6,659.96)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BLACK MCGILLICUDDY"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3496"	""	"2,059,858.16"
"MCGRATH ALFONSO"	"800224"	"AC42"	"(450) 555-5501"	"(450) 555-3816"	"21,875.49"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALFONSO MCGRATH"	""	""	"ANASTASIA.CASSISTAT@hotmail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-2397"	""	"473,632.89"
"MCINTAGGART ALDE"	"800203"	"AC42"	"(450) 555-2933"	"(450) 555-0804"	"13,294.55"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALDEGE MCINTAGGART"	""	""	"CAMIL.BROWNE@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-3578"	""	"602,910.57"
"MIGUÉ BECHARA"	"800016"	"AC44"	"(450) 555-5962"	"(450) 555-9688"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BECHARA MIGUÉ"	""	""	"AUDREY.AUBREY@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-1163"	""	"0.00"
"MINOU SUCCESSION"	"800030"	"AC55"	"4509652249"	""	"39,308.65"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"SUCCESSION MINOU"	""	""	"Badr@medina.ar"	"Yes"	"07/22/1936"	""	"0.00"	""	"(450) 555-8921"	""	"404,304.26"
"MURDOCK BRUCE"	"800201"	"AC42"	"(450) 555-7515"	"(450) 555-1014"	"1,260.05"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRUCE MURDOCK"	""	""	"CLARENCE.BROGAN@videotron.ca"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-5468"	""	"73,332.75"
"MUTCHMORE ANNU"	"800206"	"BD77"	"(450) 555-7763"	"(450) 555-0545"	"9,136.78"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANNU MUTCHMORE"	""	""	"BRASSEURS.BUCHER@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-3782"	""	"1,136,094.19"
"NATIONALE DU CAN"	"800034"	"AC42"	"(450) 555-9271"	"(450) 555-2623"	"28,675.88"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BANQUE NATIONALE DU CANADA REF PRIVATE 999A"	""	""	"BLAINE.BARTLEY@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8693"	""	"220,995.64"
"NEILL ANTOINETTE"	"800083-1"	"BD66"	"450 6626101B"	"1234567890"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi3"	"ToTo3"	""	"No"	""	""	"French"	"ANTOINETTE NEILL ANTOINETTE"	""	""	"Toto3@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"0.00"
"NEVINS BENNETT-1"	"800082-1"	"0AED"	"450 6626101B"	"1234567890"	"93,297.43"	"CAD"	""	""	"Security Number"	"% Preferred Equity Content"	""	""	""	"3"	"TiTi2"	"ToTo2"	""	"No"	""	""	"French"	"BENNETT NEVINS-1"	""	"amara.bamba@croesus.com"	"Toto2@yahoo.ds"	"Yes"	""	""	"0.00"	""	"(450) 555-3222"	""	"1,993,044.04"
"NOEL AQUARIUS"	"800029"	"AC42"	"(450) 555-5750"	"(450) 555-8918"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AQUARIUS NOEL"	""	""	"CARINE.BARABY@caramail.com"	"Yes"	"07/22/1936"	""	"0.00"	""	"(450) 555-1771"	""	"0.00"
"NOLAN CHERYL"	"800019"	"AC42"	"(450) 555-5925"	"(450) 555-9762"	"9,518.29"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CHERYL NOLAN"	""	""	"BARB.AUSTEN@yahoo.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-4556"	""	"171,247.39"
"NOUNOU"	"800031"	"AC42"	"4185432287"	""	"140,392.51"	"CAD"	""	""		"% Preferred Equity Content"	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"NOUNOU"	""	""	"BRAD.BARISH@caramail.com"	"Yes"	"02/17/1953"	""	"0.00"	""	"(450) 555-4534"	""	"824,569.31"
"OLIVIER BOURBON"	"800250-6"	"AC42"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"BOURBON OLIVIER ING"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"
"ORLEAN ADMAX"	"800256"	"AC42"	"(450) 555-9118"	"(450) 555-4215"	"16,410.42"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ADMAX ORLEAN"	""	""	"ASTRID.SENECHAL@hotmail.com"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-2521"	""	"1,112,613.79"
"OSER ALEXANDRIA"	"800074"	"BD66"	"(450) 555-4709"	"(450) 555-0767"	"7,156.45"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALEXANDRIA OSER"	""	""	"BORDELEAU.HOLLAND@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-6761"	""	"1,135,941.13"
"PILOTE ALDO"	"800065"	"BD66"	"(450) 555-6425"	"(450) 555-1325"	"3,214.10"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALDO PILOTE"	""	""	"BESSIM.BLANCHE@yahoo.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-7525"	""	"145,856.98"
"PINARD CATHARINA"	"800210-1"	"BD88"	"(450) 555-4476"	"(450) 555-9713"	"9,248.52"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"//1 CATHARINA Mid1 PINARD hon1"	""	""	"ARIANE.BANG@hotmail.com"	"Yes"	""	""	"0.00"	""	""	""	"881,624.38"
"PINARDETTE CATH"	"800210-2"	"BD88"	"(450) 555-4476"	"(450) 555-9713"	"9,248.52"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"//11 CATH Mid11 PINARDETTE hon11"	""	""	"ARIANE.BANG@hotmail.com"	"Yes"	""	""	"0.00"	""	""	""	"881,624.38"
"PLATINE CHARTIER"	"800073"	"AC42"	"(450) 555-2637"	"(450) 555-4621"	"13,736.31"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CHARTIER PLATINE"	""	""	"CAROLE.BONTE@caramail.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-1052"	""	"947,086.43"
"POLOMSKI BENNY"	"800064"	"BD66"	"(450) 555-1464"	"(450) 555-9510"	"(15,709.17)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BENNY POLOMSKI"	""	""	"BALANCED.TALVEST@yahoo.com"	"Yes"	"07/13/1920"	""	"0.00"	""	"(450) 555-9312"	""	"1,090,965.72"
"PROJ. INC. RPT"	"800400"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"906,516.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"PROJECTED INCOME REPORT"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1990"	""	"0.00"	""	"(450) 555-4442"	""	"1,111,971.12"
"RAPPORT INTACC"	"800502"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"471,784.75"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"RAPPORT INTACC"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1990"	""	"0.00"	""	"(450) 555-4442"	""	"574,512.31"
"RENTES DES EMPLO"	"800037"	"AC44"	"(450) 555-2241"	"(450) 555-5351"	"11,006.85"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"REGIME RENTES DES EMPLOYES DE REPUBLIQUEDE BANANES INC"	""	""	"BAILEY.BAWOLAK@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-5840"	""	"750,956.87"
"RETZLAFF CAISSE"	"800239"	"AC42"	"(450) 555-1316"	"(450) 555-0873"	"(7,656.59)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CAISSE RETZLAFF"	""	""	"CATHIE.CLAIR@videotron.ca"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-1070"	""	"3,486,416.42"
"ROLLAND CATELLIE"	"800227"	"BD88"	"(450) 555-4060"	"(450) 555-4861"	"2,982.47"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CATELLIER ROLLAND"	""	""	"BERNARDIN.CERAT@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-0952"	""	"158,138.41"
"SAMBORSKI ALMA"	"800261"	"BD66"	"(450) 555-6604"	"(450) 555-0922"	"15,107.08"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALMA SAMBORSKI"	""	""	"BETH.BELLEFONTAINE@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-5074"	""	"831,253.90"
"SAMSON AMYN"	"800216"	"AC43"	"(450) 555-9953"	"(450) 555-3342"	"1,555,165.13"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AMYN SAMSON"	""	""	"BOHEMIER.CANESSO@caramail.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-4442"	""	"18,425,926.09"
"SATTLER AYAAZ"	"800257"	"AC42"	"(450) 555-2752"	"(450) 555-6082"	"(51,988.64)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AYAAZ SATTLER"	""	""	"CATHRINE.RUBINO@videotron.ca"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-9847"	""	"2,592,825.21"
"SAUFFERER BOYD"	"800208"	"BD88"	"(450) 555-7341"	"(450) 555-6194"	"12,429.65"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BOYD SAUFFERER"	""	""	"BERGERON.BUJOLD@yahoo.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-4177"	""	"255,547.82"
"SAYED AMANDA"	"800026"	"AC44"	"(450) 555-9115"	"(450) 555-8616"	"0.00"	"USD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AMANDA SAYED"	""	""	"BELLEFLEUR.BANDIERA@yahoo.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-4036"	""	"0.00"
"SAYEGH ACADIA"	"800025"	"AC55"	"(450) 555-2850"	"(450) 555-8033"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ACADIA SAYEGH"	""	""	"CLAIRA.BALLARD@videotron.ca"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-0229"	""	"0.00"
"SCARLETT BLAIR"	"800022"	"AC44"	"(450) 555-4476"	"(450) 555-9713"	"5,913.97"	"CAD"	"88,000"	""	""	""	""	""	""	"3"	"TEL."	"TELEPHONE"	""	"No"	""	""	"English"	"BLAIR SCARLETT"	""	""	"test@essai.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-1377"	""	"606,920.05"
"SCARLETT BLAIR"	"800023"	"AC42"	"(450) 555-4476"	"(450) 555-9713"	"0.00"	"CAD"	"1,000"	""	""	""	""	""	""	"3"	"TEL."	"TELEPHONE"	""	"No"	""	""	"English"	"BLAIR SCARLETT"	""	""	"test@essai.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5063"	""	"0.00"
"SERGE ALICIA"	"800212-2"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"45,712.03"	"CAD"	""	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	""	"No"	""	""	"French"	"ALICIA MME SERGE"	""	""	"CAMPBELL.BURGESS@caramail.com"	"Yes"	"10/20/1956"	""	"0.00"	""	""	""	"744,419.59"
"SERGE ALICK"	"800211"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"45,712.03"	"CAD"	"111,000"	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	""	"Yes"	""	""	"French"	"ALICK SERGE"	""	""	"ali.hachemi@croesus.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-7776"	""	"744,419.59"
"SHERMANN ASSURAN"	"800242"	"AC42"	"(450) 555-6685"	"(450) 555-4013"	"2,362.70"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ASSURANCE SHERMANN & FRERES (1996)"	""	""	"ali.hachemi@croesus.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-3790"	""	"596,511.74"
"SIDDALL BOUDRIAS"	"800015"	"AC44"	"(450) 555-3117"	"(450) 555-9586"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BOUDRIAS SIDDALL"	""	""	"AAA@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5749"	""	"0.00"
"SIMARD AUGUSTINE"	"800070"	"BD88"	"(450) 555-1061"	"(450) 555-6970"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AUGUSTINE SIMARD"	""	""	"BOMBARDIER.TIMMERMANS@caramail.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-4036"	""	"0.00"
"SINAGRA AILLEEN"	"800266"	"BD77"	"(450) 555-0496"	"(450) 555-2389"	"265.11"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AILLEEN SINAGRA"	""	""	"AUDRIE.COALLIER@hotmail.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-6986"	""	"822,102.70"
"SINNAEVE CANARDS"	"800233"	"BD88"	"(450) 555-8821"	"(450) 555-0001"	"4,395.88"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CANARDS SINNAEVE"	""	""	"ADRIAN.CHATEAUNEUF@usa.net"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-5997"	""	"1,226,786.51"
"STANTON CELINE"	"800005"	"AC42"	"(450) 555-1520"	"(450) 555-9455"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CELINE STANTON"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3247"	""	"0.00"
"STEADWARD ANTOIN"	"800067"	"BD66"	"(450) 555-5536"	"(450) 555-6424"	"16,112.10"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANTOINETTA STEADWARD"	""	""	"BLUMARMIDON.BLOOMFIELD@caramail.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-5481"	""	"3,403,947.75"
"STEELE AGGIE"	"800000"	"AC42"	"(450) 555-8918"	"(450) 555-7645"	"50.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AGGIE STEELE"	""	""	"ARTI.ALDERSON@hotmail.com"	"Yes"	"10/11/1948"	""	"0.00"	""	"(450) 555-6340"	""	"139,964.11"
"STUART CARTERS"	"800262"	"BD66"	"(450) 555-5369"	"(450) 555-2378"	"22,759.01"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CARTERS STUART"	""	""	"ALTON.AUCLAIR@usa.net"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-3453"	""	"485,594.84"
"SYLVIE TROUSSEAU"	"800250-2"	"AC42"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"MME TROUSSEAU SYLVIE MAITRE"	""	""	"ed@cr.ca"	"Yes"	"05/25/1977"	""	"0.00"	""	""	""	"0.00"
"TABAK BERANGERE"	"800248"	"BD88"	"(450) 555-1478"	"(450) 555-9149"	"129,844.69"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERANGERE TABAK"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-4703"	""	"959,424.14"
"TESTEST"	"90099B"	"BD77"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	""	""	""	""	"No"	""	""	"French"	"testest"	""	""	""	"Yes"	"02/23/1987"	""	"0.00"	""	""	""	"0.00"
"TESTEST2"	"90099C"	"BD66"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	""	""	""	""	"No"	""	""	"French"	"testest2"	""	""	""	"Yes"	"08/12/1984"	""	"0.00"	""	""	""	"0.00"
"TODOR ALARIE"	"800286"	"AC42"	"(450) 555-4812"	"(450) 555-2241"	"4,174.06"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"French"	"ALARIE TODOR"	""	""	"ARCHBISHOP.CRIBB@hotmail.com"	"Yes"	"04/09/1964"	""	"0.00"	""	"(450) 555-2137"	""	"1,114,614.02"
"Toto Personne"	"800226-1"	"AC42"	"4506626102"	"5146626102"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"French"	"Mr. Personne en Toto Doc."	""	""	"Toto2@carmail.cr"	"Yes"	"07/21/1968"	""	"0.00"	""	""	""	"0.00"
"Toto1 Personne1"	"800225"	"BD66"	"4506626101"	"5146626101"	"2,356.49"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mr. Personne1 en Toto1 Doc."	""	""	"Toto@carmail.cr"	"Yes"	"07/21/1968"	""	"0.00"	""	"(450) 555-2074"	""	"901,784.26"
"TREMBLAY CHINDA"	"800084-1"	"BD77"	"450 6626101B"	"1234567890"	"9,184.65"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi4"	"ToTo4"	""	"No"	""	""	"English"	"CHINDA TREMBLAY"	""	""	"Toto4@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"2,599,148.85"
"TREN123 CIARAN"	"800278"	"AC42"	"123 456 1111"	"123 456-2222"	"15,972.50"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CIARAN TREN123"	""	""	"Tes@carmail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-2656"	""	"269,429.54"
"TRXIONS FONDS CI"	"300011"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"21,400.00"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"TRXIONS FONDS CIBC"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1982"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"50,780.60"
"TRXIONS FONDS CI"	"300012"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"145,175.96"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"TRXIONS FONDS CIBC"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"185,393.17"
"TRXIONS WEEKEND"	"300015"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"3,292.60"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"TRXIONS WEEKEND"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1982"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"22,377.60"
"VALIDATION CR"	"300014"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"26,764.47"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"VALIDATION CR"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	""	"148,840.10"
"VALIDATIONS CALC"	"300001"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"100,693.02"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"VALIDATIONS CALCULS"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"513,641.53"
"VALIDATIONS CALC"	"300008"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"49,951.27"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"VALIDATIONS CALCULS"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	""	"149,707.76"
"VALIDATIONS SEPA"	"300002"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"196,312.54"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"VALIDATIONS SEPARATION LOT"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"503,832.50"
"VILLENEUVE GILLE"	"800264"	"BD66"	"(450) 555-7022"	"(450) 555-6707"	"5,071.42"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"French"	"GILLES VILLENEUVE"	""	""	"BABE.MAINWARING@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-5811"	""	"1,147,606.99"
"VOSSEN CARROLL"	"800045"	"AC55"	"(450) 555-0531"	"(450) 555-6343"	"432.24"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CARROLL VOSSEN"	""	""	"BELANGER.BUISSON@yahoo.com"	"Yes"	"01/30/1960"	""	"0.00"	""	"(450) 555-1994"	""	"157,744.60"
"VOYER BERNADETTE"	"800215-2"	"AC43"	""	""	"21,259.22"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mme BERNADETTE JR VOYER ING"	""	""	"BART.CANDOW@yahoo.com"	"Yes"	""	""	"0.00"	""	""	""	"4,758,136.93"
"VOYER BERNARD"	"800215-1"	"AC43"	""	""	"21,259.22"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNARD VOYER"	""	""	"BART.CANDOW@yahoo.com"	"Yes"	""	""	"0.00"	""	""	""	"4,758,136.93"
"WATKINS BOURKE"	"800004"	"AC42"	"(450) 555-4522"	"(450) 555-6908"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BOURKE WATKINS"	""	""	"mscobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-5059"	""	"0.00"
"X COMPTE REFEREN"	"111100"	"BD88"	"(450) 555-4364"	"(450) 555-3482"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"X CPT REF"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"10/07/1972"	""	"0.00"	"12/07/1999"	"(450) 555-0128"	""	"0.00"
"YANIC GOBEILLE A"	"800011"	"AC42"	"(450) 555-8961"	"(450) 555-1871"	"1,089.71"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"YANIC AUBUT GOBEILLE"	""	""	"AFTAB.AREL@usa.net"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-0629"	""	"965,684.18"
"YEKTA BERNI"	"800230-1"	"AC43"	"4506626102"	"5146626102"	"17,537.50"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNI YEKTA"	""	""	"Toto2@carmail.cr"	"Yes"	"07/21/1968"	""	"0.00"	""	""	""	"804,500.34"
"ZIMMERMANN AYUKO"	"800204"	"BD66"	"(450) 555-8255"	"(450) 555-5445"	"51,018.59"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AYUKO ZIMMERMANN"	""	""	"ANGUS.BROWNING@hotmail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9165"	""	"338,021.65"
