"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Feuille F"	"Statut"	"Segments"	"Réserves"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"	"Nom"
"800008-NA"	"A - Comptant"	""	"(514) 666-4476"	"(900) 555-9713"	"5 943,20"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800008"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"383 986,92"	"CHADILLON ANNEKE"
"800008-OB"	"A - Comptant"	""	"(514) 666-4476"	"(900) 555-9713"	"233 938,96"	"USD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800008"	"n/d"	"n/d"	"Anglais"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"790 296,77"	"CHADILLON ANNEKE"
"900007-NA"	"A - Comptant"	""	"(450) 555-4475"	"(789) 555-9712"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"900007"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHADILLON ANNEKE"
"900007-OB"	"E - Marge couvert"	""	"(450) 555-4475"	"(789) 555-9712"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"900007"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CHADILLON ANNEKE"
"600001-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHAMPS TRF"	""	"600001"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHAMPS TRF"
"600001-RE"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHAMPS TRF"	""	"600001"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CHAMPS TRF"
"600002-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHAMPS TRF VIDE"	""	"600002"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHAMPS TRF VIDE"
"600003-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHAMPS TRF VIDE"	""	"600003"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHAMPS TRF VIDE"
"600004-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHAMPS TRF VIDE"	""	"600004"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHAMPS TRF VIDE"
"800244-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800244"	"n/d"	"n/d"	"Français"			""	"2006/02/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHATEAUNEUF ADRI"
"800244-NA"	"A - Comptant"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800244"	"n/d"	"n/d"	"Français"			""	"2006/07/17"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHATEAUNEUF ADRI"
"800294-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"416,08"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"n/d"	"n/d"	"Français"			"2010/01/14"	"2010/01/18"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"497 873,06"	"CHATEAUNEUF ADRI"
"800294-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"n/d"	"n/d"	"Français"			""	"2000/09/27"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"CHATEAUNEUF ADRI"
"800294-LY"	"Y - Rente viagère"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"n/d"	"n/d"	"Français"			""	"2001/01/31"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"CHATEAUNEUF ADRI"
"800294-RE"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"41,45"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"n/d"	"n/d"	"Français"			""	"2009/02/24"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"41,45"	"CHATEAUNEUF ADRI"
"800294-SF"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"474,14"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"n/d"	"n/d"	"Français"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"2 497,15"	"CHATEAUNEUF ADRI"
"900294-NA"	"A - Comptant"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"900294"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CHATEAUNEUF ADRI"
"900294-OB"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"ADRIAN CHATEAUNEUF"	""	"900294"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CHATEAUNEUF ADRI"
"800027-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4476"	"(450) 555-9713"	"33 570,89"	"CAD"	""	"Ouvert"	"Non"	""	""	"PAUL CHENIER"	""	"800027"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"867 197,05"	"CHENIER PAUL"
"800027-NA"	"A - Comptant"	""	"(450) 555-4476"	"(450) 555-9713"	"3 023,75"	"CAD"	""	"Ouvert"	"Non"	""	""	"PAUL CHENIER"	""	"800027"	"n/d"	"n/d"	"Français"			""	"2010/01/14"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"106 237,72"	"CHENIER PAUL"
"800253-LY"	"Y - Rente viagère"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"DUHAMEL CICANSKY"	""	"800253"	"n/d"	"n/d"	"Français"			""	"2006/07/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CICANSKY DUHAMEL"
"800253-NA"	"A - Comptant"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"DUHAMEL CICANSKY"	""	"800253"	"n/d"	"n/d"	"Français"			""	"2006/06/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CICANSKY DUHAMEL"
"800209-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRETT CLEMENT"	""	"800209"	"n/d"	"n/d"	"Anglais"			""	"2004/05/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CLEMENT BRETT"
"800209-RE"	"E - Marge couvert"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRETT CLEMENT"	""	"800209"	"n/d"	"n/d"	"Anglais"			""	"2004/05/17"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CLEMENT BRETT"
"800080-GT"	"T - Fonds de revenu de retraite"	""	"450 6626101B"	"1234567890"	"635,64"	"CAD"	""	"Ouvert"	"Non"	""	""	"BORDELEAU CONWAY"	""	"800080"	"n/d"	"n/d"	"Français"			""	"2010/01/04"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"96 413,79"	"CONWAY BORDELEAU"
"800080-NA"	"A - Comptant"	""	"450 6626101B"	"1234567890"	"4 370,30"	"CAD"	""	"Ouvert"	"Non"	""	""	"BORDELEAU CONWAY"	""	"800080"	"n/d"	"n/d"	"Français"			""	"2010/01/04"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"799 511,30"	"CONWAY BORDELEAU"
"800012-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BOURSE COUSSON"	""	"800012"	"n/d"	"n/d"	"Anglais"			""	"2005/10/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"COUSSON BOURSE"
"800012-NA"	"A - Comptant"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BOURSE COUSSON"	""	"800012"	"n/d"	"n/d"	"Anglais"			""	"2005/10/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"COUSSON BOURSE"
"800051-BO"	"C - Paiement sur livraison"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"CHRYSTIAN CROIL"	""	"800051"	"n/d"	"n/d"	"Français"			""	"2008/10/28"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CROIL CHRYSTIAN"
"800292-FS"	"S - Régime d'épargne-retraite"	""	"123 456 7890"	"(416) 666-6543"	"6 892,78"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLISLE CULLEN"	""	"800292"	"n/d"	"n/d"	"Anglais"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"239 616,87"	"CULLEN CARLISLE"
"800292-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"123 456 7890"	"(416) 666-6543"	"0,02"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLISLE CULLEN"	""	"800292"	"n/d"	"n/d"	"Anglais"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 359,98"	"CULLEN CARLISLE"
"800292-RE"	"E - Marge couvert"	""	"123 456 7890"	"(416) 666-6543"	"236,28"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLISLE CULLEN"	""	"800292"	"n/d"	"n/d"	"Anglais"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"36 825,04"	"CULLEN CARLISLE"
"800289-OB"	"A - Comptant"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"EDWARD CULLEN"	""	"800289"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CULLEN EDWARD"
"800010-JJ"	"J -"	""	"(450) 555-4476"	"(450) 555-9713"	"1 097,20"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"800010"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 097,20"	"DABADIE AMERICO"
"800010-NA"	"A - Comptant"	""	"(450) 555-4476"	"(450) 555-9713"	"14,41"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"800010"	"n/d"	"n/d"	"Français"			""	"2009/03/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"72 497,34"	"DABADIE AMERICO"
"900010-NA"	"A - Comptant"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"900010"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"DABADIE AMERICO"
"900010-OB"	"E - Marge couvert"	""	"123456789"	"987654321"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"AMERICO DABADIE"	""	"900010"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"DABADIE AMERICO"
"800251-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4859"	"(450) 555-0474"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANDREA DEEM"	""	"800251"	"n/d"	"n/d"	"Français"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"DEEM ANDREA"
"800251-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-4859"	"(450) 555-0474"	"6 990,70"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANDREA DEEM"	""	"800251"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"465 759,21"	"DEEM ANDREA"
"800251-RE"	"E - Marge couvert"	""	"(450) 555-4859"	"(450) 555-0474"	"5 622,86"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANDREA DEEM"	""	"800251"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"862 032,93"	"DEEM ANDREA"
"800047-RE"	"E - Marge couvert"	""	"(450) 555-2059"	"(450) 555-3010"	"(8 749,74)"	"CAD"	""	"Ouvert"	"Non"	""	""	"YOGOURT DELISLE"	""	"800047"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"549 292,84"	"DELISLE YOGOURT"
"800047-SF"	"E - Marge couvert"	""	"(450) 555-2059"	"(450) 555-3010"	"234,57"	"USD"	""	"Ouvert"	"Non"	""	""	"YOGOURT DELISLE"	""	"800047"	"n/d"	"n/d"	"Français"			""	"2009/11/27"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"16 751,99"	"DELISLE YOGOURT"
"800288-FS"	"S - Régime d'épargne-retraite"	""	""	""	"18 218,90"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARNAST DEMERCHANT"	""	"800288"	"n/d"	"n/d"	"Français"			""	"2009/03/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"44 559,16"	"DEMERCHANT ARNAS"
"800288-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARNAST DEMERCHANT"	""	"800288"	"n/d"	"n/d"	"Français"			""	"2008/02/27"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"DEMERCHANT ARNAS"
"800263-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1974"	"(450) 555-1470"	"1 182,20"	"CAD"	""	"Ouvert"	"Non"	""	""	"AQUARIUS DODOK"	""	"800263"	"n/d"	"n/d"	"Anglais"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"721 426,54"	"DODOK AQUARIUS"
"800263-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1974"	"(450) 555-1470"	"0,66"	"CAD"	""	"Ouvert"	"Non"	""	""	"AQUARIUS DODOK"	""	"800263"	"n/d"	"n/d"	"Anglais"			""	"2010/01/14"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 179,85"	"DODOK AQUARIUS"
"800263-RE"	"E - Marge couvert"	""	"(450) 555-1974"	"(450) 555-1470"	"14 248,80"	"CAD"	""	"Ouvert"	"Non"	""	""	"AQUARIUS DODOK"	""	"800263"	"n/d"	"n/d"	"Anglais"			""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 614 308,53"	"DODOK AQUARIUS"
"800031-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"4185432287"	""	"662,02"	"CAD"	""	"Ouvert"	"Non"	""	""	"SOWLIN GREENSPOON"	""	"800031"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"7 736,56"	"DOSTIE AYELE"
"800039-NA"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALVARO DYNAMIQUE"	""	"800039"	"n/d"	"n/d"	"Français"			""	"2006/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"DYNAMIQUE ALVARO"
"800039-OB"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"ALVARO DYNAMIQUE"	""	"800039"	"n/d"	"n/d"	"Français"			""	"2005/12/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"DYNAMIQUE ALVARO"
"800032-GT"	"T - Fonds de revenu de retraite"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERTHE ERDMAN"	""	"800032"	"n/d"	"n/d"	"Français"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"ERDMAN BERTHE"
"800032-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERTHE ERDMAN"	""	"800032"	"n/d"	"n/d"	"Français"			""	"2009/11/03"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"ERDMAN BERTHE"
"800032-NA"	"A - Comptant"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERTHE ERDMAN"	""	"800032"	"n/d"	"n/d"	"Français"			""	"2009/12/10"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"ERDMAN BERTHE"
"800063-NA"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"192 288,35"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERNATCHEZ EVERTON"	""	"800063"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 174 358,51"	"EVERTON BERNATCH"
"800063-OB"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"266 141,04"	"USD"	""	"Ouvert"	"Non"	""	""	"BERNATCHEZ EVERTON"	""	"800063"	"n/d"	"n/d"	"Français"			""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"622 706,16"	"EVERTON BERNATCH"
"800237-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-2466"	"(450) 555-8267"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANESTIS FATA"	""	"800237"	"n/d"	"n/d"	"Français"			""	"2006/01/26"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"FATA ANESTIS"
"800237-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2466"	"(450) 555-8267"	"9 336,94"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANESTIS FATA"	""	"800237"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"1999/02/04"	"Non"	"n/d"	"382 081,87"	"FATA ANESTIS"
"800237-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-2466"	"(450) 555-8267"	"48,01"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANESTIS FATA"	""	"800237"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 619,48"	"FATA ANESTIS"
"800237-RE"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"88,11"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANESTIS FATA"	""	"800237"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"1999/01/29"	"Non"	"0,00"	"104 040,51"	"FATA ANESTIS"
"800237-SF"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"1 093,91"	"USD"	""	"Ouvert"	"Non"	""	""	"ANESTIS FATA"	""	"800237"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"1999/01/29"	"Non"	"0,00"	"1 093,91"	"FATA ANESTIS"
"800214-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CATHY FORTIN"	""	"800214"	"n/d"	"n/d"	"Français"			""	"2004/11/08"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"FORTIN CAT"
"800214-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"3 107,11"	"CAD"	""	"Ouvert"	"Non"	""	""	"CATHY FORTIN"	""	"800214"	"n/d"	"n/d"	"Français"			""	"2009/12/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"49 117,75"	"FORTIN CAT"
"800214-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CATHY FORTIN"	""	"800214"	"n/d"	"n/d"	"Français"			""	"2009/01/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 197,59"	"FORTIN CAT"
"800214-NA"	"A - Comptant"	""	"(450) 555-8651"	"(450) 555-9211"	"0,64"	"CAD"	""	"Ouvert"	"Non"	""	""	"CATHY FORTIN"	""	"800214"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"65 903,57"	"FORTIN CAT"
"800235-DQ"	"Q - Régime d'épargne-actions"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALIETTE FOSTEN"	""	"800235"	"n/d"	"n/d"	"Français"			""	"2006/02/07"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"FOSTEN ALIETTE"
"800235-FS"	"S - Régime d'épargne-retraite"	""	""	""	"4 072,72"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALIETTE FOSTEN"	""	"800235"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"657 592,08"	"FOSTEN ALIETTE"
"800235-RE"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALIETTE FOSTEN"	""	"800235"	"n/d"	"n/d"	"Français"			""	"2009/07/14"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"FOSTEN ALIETTE"
"300012-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"145 175,96"	"CAD"	""	"Ouvert"	"Non"	""	""	"TRXIONS FONDS CIBC"	""	"300012"	"n/d"	"n/d"	"Français"			"2009/12/31"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"185 393,17"	"FRAIS GESTION CR"
"300012-RE"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"TRXIONS FONDS CIBC"	""	"300012"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"FRAIS GESTION CR"
"800024-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-7248"	"(450) 555-5038"	"27,80"	"CAD"	""	"Ouvert"	"Non"	""	""	"CELIA FRANCOIS"	""	"800024"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"27,80"	"FRANCOIS CELIA"
"800024-RE"	"E - Marge couvert"	""	"(450) 555-7248"	"(450) 555-5038"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CELIA FRANCOIS"	""	"800024"	"n/d"	"n/d"	"Français"			""	"2006/01/03"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"FRANCOIS CELIA"
"800046-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-3143"	"(450) 555-2128"	"7 926,98"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHRISTINE FRESEY"	""	"800046"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"246 049,67"	"FRESEY CHRISTINE"
"800046-NA"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"8 391,61"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHRISTINE FRESEY"	""	"800046"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"173 806,05"	"FRESEY CHRISTINE"
"800046-OB"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"7 050,91"	"USD"	""	"Ouvert"	"Non"	""	""	"CHRISTINE FRESEY"	""	"800046"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	"2009/02/01"	""	"2009/01/01"	"Non"	"n/d"	"156 376,51"	"FRESEY CHRISTINE"
"800046-RE"	"E - Marge couvert"	""	"(450) 555-3143"	"(450) 555-2128"	"7 293,38"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHRISTINE FRESEY"	""	"800046"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"883 853,62"	"FRESEY CHRISTINE"
"800076-FS"	"S - Régime d'épargne-retraite"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BROCHU GALLATI"	""	"800076"	"n/d"	"n/d"	"Français"			""	"2001/08/07"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"GALLATI BROCHU"
"800076-GT"	"T - Fonds de revenu de retraite"	""	"1234567890"	"9876543210"	"1 219,59"	"CAD"	""	"Ouvert"	"Non"	""	""	"BROCHU GALLATI"	""	"800076"	"n/d"	"n/d"	"Français"			""	"2009/12/28"	""	""	""	""	"2001/05/31"	"Oui"	"n/d"	"10 996,27"	"GALLATI BROCHU"
"800076-NA"	"A - Comptant"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BROCHU GALLATI"	""	"800076"	"n/d"	"n/d"	"Français"			""	"2005/07/04"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"GALLATI BROCHU"
"800280-RE"	"E - Marge couvert"	"112577689300"	"1234567890"	"9876543210"	"33 962,21"	"CAD"	""	"Ouvert"	"Non"	""	""	"BENEZETTE GALLEY"	""	"800280"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 102 163,63"	"GALLEY BENEZETTE"
"800280-SF"	"E - Marge couvert"	"001000"	"1234567890"	"9876543210"	"171 147,13"	"USD"	""	"Ouvert"	"Non"	""	""	"BENEZETTE GALLEY"	""	"800280"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	"2009/01/01"	""	"2009/01/01"	"Non"	"0,00"	"474 316,31"	"GALLEY BENEZETTE"
