"Account No."	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"	"Name"
"800200-RE"	"E - Margin Long"	""	"(450) 555-9360"	"(450) 555-5958"	"18.14"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/03/2008"	""	"French"	"No"	"AMIR CELLARD"	"Yes"	"01/01/2009"	""	"800200"	"0.00"	"19.51"	"CELLARD AMIR"
"800007-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4475"	"(789) 555-9712"	"320.91"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800007"	"n/a"	"521,426.42"	"CHADILLON ANNEKE"
"800007-NA"	"A - Cash"	""	"(450) 555-4475"	"(789) 555-9712"	"(811.54)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800007"	"n/a"	"1,232,286.40"	"CHADILLON ANNEKE"
"800008-FS"	"S - Retirement Savings Plan"	""	"(514) 666-4476"	"(900) 555-9713"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"English"	"Yes"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800008"	"n/a"	"0.00"	"CHADILLON ANNEKE"
"800008-JW"	"W - Spousal - Retirement Income Funds"	""	"(514) 666-4476"	"(900) 555-9713"	"106.19"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"English"	"Yes"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800008"	"n/a"	"5,570.67"	"CHADILLON ANNEKE"
"800008-NA"	"A - Cash"	""	"(514) 666-4476"	"(900) 555-9713"	"5,943.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"English"	"Yes"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800008"	"n/a"	"383,986.92"	"CHADILLON ANNEKE"
"800008-OB"	"A - Cash"	""	"(514) 666-4476"	"(900) 555-9713"	"233,938.96"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"English"	"Yes"	"ANNEKE CHADILLON"	"Yes"	"01/01/2009"	""	"800008"	"n/a"	"790,296.77"	"CHADILLON ANNEKE"
"900007-NA"	"A - Cash"	""	"(450) 555-4475"	"(789) 555-9712"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"900007"	"n/a"	"0.00"	"CHADILLON ANNEKE"
"900007-OB"	"E - Margin Long"	""	"(450) 555-4475"	"(789) 555-9712"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"900007"	"0.00"	"0.00"	"CHADILLON ANNEKE"
"600001-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"CHAMPS TRF"	"Yes"	"01/01/2009"	""	"600001"	"n/a"	"0.00"	"CHAMPS TRF"
"600001-RE"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"CHAMPS TRF"	"Yes"	"01/01/2009"	""	"600001"	"0.00"	"0.00"	"CHAMPS TRF"
"600002-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"CHAMPS TRF VIDE"	"Yes"	"01/01/2009"	""	"600002"	"n/a"	"0.00"	"CHAMPS TRF VIDE"
"600003-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"CHAMPS TRF VIDE"	"Yes"	"01/01/2009"	""	"600003"	"n/a"	"0.00"	"CHAMPS TRF VIDE"
"600004-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"CHAMPS TRF VIDE"	"Yes"	"01/01/2009"	""	"600004"	"n/a"	"0.00"	"CHAMPS TRF VIDE"
"800244-GT"	"T - Retirement Income Funds"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/15/2006"	""	"French"	"No"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800244"	"n/a"	"0.00"	"CHATEAUNEUF ADRI"
"800244-NA"	"A - Cash"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/17/2006"	""	"French"	"No"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800244"	"n/a"	"0.00"	"CHATEAUNEUF ADRI"
"800294-GT"	"T - Retirement Income Funds"	""	"(450) 555-1057"	"(450) 555-2279"	"416.08"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	"01/14/2010"	"French"	"Yes"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800294"	"n/a"	"497,873.06"	"CHATEAUNEUF ADRI"
"800294-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"09/27/2000"	""	"French"	"Yes"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800294"	"n/a"	"0.00"	"CHATEAUNEUF ADRI"
"800294-LY"	"Y - Life Annuity"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/31/2001"	""	"French"	"Yes"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800294"	"n/a"	"0.00"	"CHATEAUNEUF ADRI"
"800294-RE"	"E - Margin Long"	""	"(450) 555-1057"	"(450) 555-2279"	"41.45"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/24/2009"	""	"French"	"Yes"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800294"	"0.00"	"41.45"	"CHATEAUNEUF ADRI"
"800294-SF"	"E - Margin Long"	""	"(450) 555-1057"	"(450) 555-2279"	"474.14"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"Yes"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"800294"	"0.00"	"2,497.15"	"CHATEAUNEUF ADRI"
"900294-NA"	"A - Cash"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"900294"	"n/a"	"0.00"	"CHATEAUNEUF ADRI"
"900294-OB"	"E - Margin Long"	""	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"ADRIAN CHATEAUNEUF"	"Yes"	"01/01/2009"	""	"900294"	"0.00"	"0.00"	"CHATEAUNEUF ADRI"
"800027-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4476"	"(450) 555-9713"	"33,570.89"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"PAUL CHENIER"	"Yes"	"01/01/2009"	""	"800027"	"n/a"	"867,197.05"	"CHENIER PAUL"
"800027-NA"	"A - Cash"	""	"(450) 555-4476"	"(450) 555-9713"	"3,023.75"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/14/2010"	""	"French"	"No"	"PAUL CHENIER"	"Yes"	"01/01/2009"	""	"800027"	"n/a"	"106,237.72"	"CHENIER PAUL"
"800253-LY"	"Y - Life Annuity"	""	"(450) 555-8945"	"(450) 555-6431"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/13/2006"	""	"French"	"No"	"DUHAMEL CICANSKY"	"Yes"	"01/01/2009"	""	"800253"	"n/a"	"0.00"	"CICANSKY DUHAMEL"
"800253-NA"	"A - Cash"	""	"(450) 555-8945"	"(450) 555-6431"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"06/21/2006"	""	"French"	"No"	"DUHAMEL CICANSKY"	"Yes"	"01/01/2009"	""	"800253"	"n/a"	"0.00"	"CICANSKY DUHAMEL"
"800209-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-5562"	"(450) 555-5034"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/19/2004"	""	"English"	"No"	"BRETT CLEMENT"	"Yes"	"01/01/2009"	""	"800209"	"n/a"	"0.00"	"CLEMENT BRETT"
"800209-RE"	"E - Margin Long"	""	"(450) 555-5562"	"(450) 555-5034"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/17/2004"	""	"English"	"No"	"BRETT CLEMENT"	"Yes"	"01/01/2009"	""	"800209"	"0.00"	"0.00"	"CLEMENT BRETT"
"800080-GT"	"T - Retirement Income Funds"	""	"450 6626101B"	"1234567890"	"635.64"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/04/2010"	""	"French"	"Yes"	"BORDELEAU CONWAY"	"Yes"	"01/01/2009"	""	"800080"	"n/a"	"96,413.79"	"CONWAY BORDELEAU"
"800080-NA"	"A - Cash"	""	"450 6626101B"	"1234567890"	"4,370.30"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/04/2010"	""	"French"	"Yes"	"BORDELEAU CONWAY"	"Yes"	"01/01/2009"	""	"800080"	"n/a"	"799,511.30"	"CONWAY BORDELEAU"
"800012-FS"	"S - Retirement Savings Plan"	""	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/25/2005"	""	"English"	"No"	"BOURSE COUSSON"	"Yes"	"01/01/2009"	""	"800012"	"n/a"	"0.00"	"COUSSON BOURSE"
"800012-NA"	"A - Cash"	""	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"10/20/2005"	""	"English"	"No"	"BOURSE COUSSON"	"Yes"	"01/01/2009"	""	"800012"	"n/a"	"0.00"	"COUSSON BOURSE"
"800051-BO"	"C - Cash On Delivery"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/28/2008"	""	"French"	"No"	"CHRYSTIAN CROIL"	"Yes"	"01/01/2009"	""	"800051"	"n/a"	"0.00"	"CROIL CHRYSTIAN"
"800292-FS"	"S - Retirement Savings Plan"	""	"123 456 7890"	"(416) 666-6543"	"6,892.78"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"CARLISLE CULLEN"	"Yes"	"01/01/2009"	""	"800292"	"n/a"	"239,616.87"	"CULLEN CARLISLE"
"800292-JW"	"W - Spousal - Retirement Income Funds"	""	"123 456 7890"	"(416) 666-6543"	"0.02"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"English"	"No"	"CARLISLE CULLEN"	"Yes"	"01/01/2009"	""	"800292"	"n/a"	"10,359.98"	"CULLEN CARLISLE"
"800292-RE"	"E - Margin Long"	""	"123 456 7890"	"(416) 666-6543"	"236.28"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"English"	"No"	"CARLISLE CULLEN"	"Yes"	"01/01/2009"	""	"800292"	"0.00"	"36,825.04"	"CULLEN CARLISLE"
"800289-OB"	"A - Cash"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"EDWARD CULLEN"	"Yes"	"01/01/2009"	""	"800289"	"n/a"	"0.00"	"CULLEN EDWARD"
"800010-JJ"	"J -"	""	"(450) 555-4476"	"(450) 555-9713"	"1,097.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"800010"	"n/a"	"1,097.20"	"DABADIE AMERICO"
"800010-NA"	"A - Cash"	""	"(450) 555-4476"	"(450) 555-9713"	"14.41"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"03/16/2009"	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"800010"	"n/a"	"72,497.34"	"DABADIE AMERICO"
"900010-NA"	"A - Cash"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"900010"	"n/a"	"0.00"	"DABADIE AMERICO"
"900010-OB"	"E - Margin Long"	""	"123456789"	"987654321"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"AMERICO DABADIE"	"Yes"	"01/01/2009"	""	"900010"	"0.00"	"0.00"	"DABADIE AMERICO"
"800251-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4859"	"(450) 555-0474"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"ANDREA DEEM"	"Yes"	"01/01/2009"	""	"800251"	"n/a"	"0.00"	"DEEM ANDREA"
"800251-GT"	"T - Retirement Income Funds"	""	"(450) 555-4859"	"(450) 555-0474"	"6,990.70"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ANDREA DEEM"	"Yes"	"01/01/2009"	""	"800251"	"n/a"	"465,759.21"	"DEEM ANDREA"
"800251-RE"	"E - Margin Long"	""	"(450) 555-4859"	"(450) 555-0474"	"5,622.86"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ANDREA DEEM"	"Yes"	"01/01/2009"	""	"800251"	"0.00"	"862,032.93"	"DEEM ANDREA"
"800047-RE"	"E - Margin Long"	""	"(450) 555-2059"	"(450) 555-3010"	"(8,749.74)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"YOGOURT DELISLE"	"Yes"	"01/01/2009"	""	"800047"	"0.00"	"549,292.84"	"DELISLE YOGOURT"
"800047-SF"	"E - Margin Long"	""	"(450) 555-2059"	"(450) 555-3010"	"234.57"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/27/2009"	""	"French"	"No"	"YOGOURT DELISLE"	"Yes"	"01/01/2009"	""	"800047"	"0.00"	"16,751.99"	"DELISLE YOGOURT"
"800288-FS"	"S - Retirement Savings Plan"	""	""	""	"18,218.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/16/2009"	""	"French"	"No"	"ARNAST DEMERCHANT"	"Yes"	"01/01/2009"	""	"800288"	"n/a"	"44,559.16"	"DEMERCHANT ARNAS"
"800288-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"02/27/2008"	""	"French"	"No"	"ARNAST DEMERCHANT"	"Yes"	"01/01/2009"	""	"800288"	"n/a"	"0.00"	"DEMERCHANT ARNAS"
"800263-FS"	"S - Retirement Savings Plan"	""	"(450) 555-1974"	"(450) 555-1470"	"1,182.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"English"	"No"	"AQUARIUS DODOK"	"Yes"	"01/01/2009"	""	"800263"	"n/a"	"721,426.54"	"DODOK AQUARIUS"
"800263-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-1974"	"(450) 555-1470"	"0.66"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/14/2010"	""	"English"	"No"	"AQUARIUS DODOK"	"Yes"	"01/01/2009"	""	"800263"	"n/a"	"10,179.85"	"DODOK AQUARIUS"
"800263-RE"	"E - Margin Long"	""	"(450) 555-1974"	"(450) 555-1470"	"14,248.80"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"English"	"No"	"AQUARIUS DODOK"	"Yes"	"01/01/2009"	""	"800263"	"0.00"	"1,614,308.53"	"DODOK AQUARIUS"
"800031-JW"	"W - Spousal - Retirement Income Funds"	""	"4185432287"	""	"662.02"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"SOWLIN GREENSPOON"	"Yes"	"01/01/2009"	""	"800031"	"n/a"	"7,736.56"	"DOSTIE AYELE"
"800039-NA"	"A - Cash"	""	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2006"	""	"French"	"No"	"ALVARO DYNAMIQUE"	"Yes"	"01/01/2009"	""	"800039"	"n/a"	"0.00"	"DYNAMIQUE ALVARO"
"800039-OB"	"A - Cash"	""	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/13/2005"	""	"French"	"No"	"ALVARO DYNAMIQUE"	"Yes"	"01/01/2009"	""	"800039"	"n/a"	"0.00"	"DYNAMIQUE ALVARO"
"800032-GT"	"T - Retirement Income Funds"	""	"6133897715"	"123 456 7890"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"BERTHE ERDMAN"	"Yes"	"01/01/2009"	""	"800032"	"n/a"	"0.00"	"ERDMAN BERTHE"
"800032-JW"	"W - Spousal - Retirement Income Funds"	""	"6133897715"	"123 456 7890"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/03/2009"	""	"French"	"No"	"BERTHE ERDMAN"	"Yes"	"01/01/2009"	""	"800032"	"n/a"	"0.00"	"ERDMAN BERTHE"
"800032-NA"	"A - Cash"	""	"6133897715"	"123 456 7890"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/10/2009"	""	"French"	"No"	"BERTHE ERDMAN"	"Yes"	"01/01/2009"	""	"800032"	"n/a"	"0.00"	"ERDMAN BERTHE"
"800063-NA"	"A - Cash"	""	"(450) 555-8191"	"(450) 555-7525"	"192,288.35"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"BERNATCHEZ EVERTON"	"Yes"	"01/01/2009"	""	"800063"	"n/a"	"1,174,358.51"	"EVERTON BERNATCH"
"800063-OB"	"A - Cash"	""	"(450) 555-8191"	"(450) 555-7525"	"266,141.04"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"French"	"No"	"BERNATCHEZ EVERTON"	"Yes"	"01/01/2009"	""	"800063"	"n/a"	"622,706.16"	"EVERTON BERNATCH"
"800237-DQ"	"Q - Stock Savings Plan"	""	"(450) 555-2466"	"(450) 555-8267"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/26/2006"	""	"French"	"No"	"ANESTIS FATA"	"Yes"	"01/01/2009"	""	"800237"	"0.00"	"0.00"	"FATA ANESTIS"
"800237-FS"	"S - Retirement Savings Plan"	""	"(450) 555-2466"	"(450) 555-8267"	"9,336.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ANESTIS FATA"	"Yes"	"02/04/1999"	""	"800237"	"n/a"	"382,081.87"	"FATA ANESTIS"
"800237-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-2466"	"(450) 555-8267"	"48.01"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ANESTIS FATA"	"Yes"	"01/01/2009"	""	"800237"	"n/a"	"5,619.48"	"FATA ANESTIS"
"800237-RE"	"E - Margin Long"	""	"(450) 555-2466"	"(450) 555-8267"	"88.11"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"ANESTIS FATA"	"Yes"	"01/29/1999"	""	"800237"	"0.00"	"104,040.51"	"FATA ANESTIS"
"800237-SF"	"E - Margin Long"	""	"(450) 555-2466"	"(450) 555-8267"	"1,093.91"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"ANESTIS FATA"	"Yes"	"01/29/1999"	""	"800237"	"0.00"	"1,093.91"	"FATA ANESTIS"
"800214-FS"	"S - Retirement Savings Plan"	""	"(450) 555-8651"	"(450) 555-9211"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/08/2004"	""	"French"	"No"	"CATHY FORTIN"	"Yes"	"01/01/2009"	""	"800214"	"n/a"	"0.00"	"FORTIN CAT"
"800214-GT"	"T - Retirement Income Funds"	""	"(450) 555-8651"	"(450) 555-9211"	"3,107.11"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/16/2009"	""	"French"	"No"	"CATHY FORTIN"	"Yes"	"01/01/2009"	""	"800214"	"n/a"	"49,117.75"	"FORTIN CAT"
"800214-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8651"	"(450) 555-9211"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/02/2009"	""	"French"	"No"	"CATHY FORTIN"	"Yes"	"01/01/2009"	""	"800214"	"n/a"	"5,197.59"	"FORTIN CAT"
"800214-NA"	"A - Cash"	""	"(450) 555-8651"	"(450) 555-9211"	"0.64"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/31/2009"	""	"French"	"No"	"CATHY FORTIN"	"Yes"	"01/01/2009"	""	"800214"	"n/a"	"65,903.57"	"FORTIN CAT"
"800235-DQ"	"Q - Stock Savings Plan"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/07/2006"	""	"French"	"No"	"ALIETTE FOSTEN"	"Yes"	"01/01/2009"	""	"800235"	"0.00"	"0.00"	"FOSTEN ALIETTE"
"800235-FS"	"S - Retirement Savings Plan"	""	""	""	"4,072.72"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ALIETTE FOSTEN"	"Yes"	"01/01/2009"	""	"800235"	"n/a"	"657,592.08"	"FOSTEN ALIETTE"
"800235-RE"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/14/2009"	""	"French"	"No"	"ALIETTE FOSTEN"	"Yes"	"01/01/2009"	""	"800235"	"0.00"	"0.00"	"FOSTEN ALIETTE"
"300012-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"145,175.96"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"12/31/2009"	"French"	"No"	"TRXIONS FONDS CIBC"	"Yes"	"01/01/2009"	""	"300012"	"n/a"	"185,393.17"	"FRAIS GESTION CR"
"300012-RE"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"TRXIONS FONDS CIBC"	"Yes"	"01/01/2009"	""	"300012"	"n/a"	"0.00"	"FRAIS GESTION CR"
"800024-GT"	"T - Retirement Income Funds"	""	"(450) 555-7248"	"(450) 555-5038"	"27.80"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"CELIA FRANCOIS"	"Yes"	"01/01/2009"	""	"800024"	"n/a"	"27.80"	"FRANCOIS CELIA"
"800024-RE"	"E - Margin Long"	""	"(450) 555-7248"	"(450) 555-5038"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/03/2006"	""	"French"	"No"	"CELIA FRANCOIS"	"Yes"	"01/01/2009"	""	"800024"	"0.00"	"0.00"	"FRANCOIS CELIA"
